customer_id,total_purchases,total_browses,total_spent,avg_order_value,total_page_views,avg_page_views,first_activity,last_activity,days_since_first,days_since_last,customer_lifetime_days,avg_daily_activity,purchase_conversion_rate,age,gender,location,income,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,days_since_last_purchase,churned
38,17,256,2938.37,10.763260073260073,540,1.978021978021978,2025-01-28,2025-12-30,336,0,336,0.8125,0.06227106227106227,60,Female,GA,88411,2.0,17.0,2938.37,4,4,4,444,Champions,0,0
39,3,181,953.5,5.182065217391305,254,1.3804347826086956,2024-06-26,2025-06-23,552,190,362,0.5082872928176796,0.016304347826086956,56,Non-Binary,MT,91576,220.0,3.0,953.5,2,1,2,212,Need Attention,190,1
40,8,213,1317.36,5.960904977375566,358,1.6199095022624435,2025-02-12,2025-12-29,321,1,320,0.690625,0.03619909502262444,30,Female,NM,55941,39.0,8.0,1317.36,3,3,3,333,Champions,1,0
41,12,294,1872.37,6.1188562091503265,625,2.042483660130719,2024-02-06,2025-02-04,693,329,364,0.8406593406593407,0.0392156862745098,62,Non-Binary,NJ,72660,356.0,12.0,1872.37,1,4,3,143,At Risk,329,1
42,5,145,566.06,3.773733333333333,200,1.3333333333333333,2025-04-18,2025-12-30,256,0,256,0.5859375,0.03333333333333333,32,Female,IL,64083,96.0,5.0,566.06,2,2,2,222,At Risk,0,0
43,0,2,0.0,0.0,2,1.0,2025-12-28,2025-12-30,2,0,2,1.0,0.0,39,Female,VI,55798,,,,,,,,,0,1
44,3,118,363.07,3.0005785123966944,141,1.165289256198347,2024-05-05,2025-05-04,604,240,364,0.3324175824175824,0.024793388429752067,39,Female,MO,62674,279.0,3.0,363.07,1,1,1,111,Others,240,1
45,7,111,1951.62,16.53915254237288,237,2.0084745762711864,2025-07-24,2025-12-30,159,0,159,0.7421383647798742,0.059322033898305086,39,Male,MH,74816,14.0,7.0,1951.62,4,2,3,423,Loyal Customers,0,0
46,1,38,44.58,1.143076923076923,38,0.9743589743589743,2024-10-01,2025-09-18,455,103,352,0.11079545454545454,0.02564102564102564,61,Male,AR,52295,225.0,1.0,44.58,2,1,1,211,Need Attention,103,1
47,12,234,3166.9,12.873577235772357,359,1.4593495934959348,2024-04-14,2025-04-11,625,263,362,0.6795580110497238,0.04878048780487805,21,Female,GA,54628,265.0,12.0,3166.9,1,4,4,144,At Risk,263,1
48,17,303,2309.45,7.21703125,653,2.040625,2024-02-18,2025-02-15,681,318,363,0.8815426997245179,0.053125,52,Non-Binary,MS,82570,331.0,17.0,2309.45,1,4,4,144,At Risk,318,1
49,0,19,0.0,0.0,23,1.2105263157894737,2025-10-20,2025-12-26,71,4,67,0.2835820895522388,0.0,30,Non-Binary,AL,63392,,,,,,,,,4,1
50,0,39,0.0,0.0,53,1.358974358974359,2025-08-27,2025-12-30,125,0,125,0.312,0.0,43,Male,MS,64206,,,,,,,,,0,1
51,2,40,304.23,7.243571428571429,44,1.0476190476190477,2025-04-25,2025-12-23,249,7,242,0.17355371900826447,0.047619047619047616,40,Male,KS,96719,33.0,2.0,304.23,3,1,1,311,Need Attention,7,0
52,4,256,603.16,2.3198461538461537,426,1.6384615384615384,2024-02-28,2025-02-26,671,307,364,0.7142857142857143,0.015384615384615385,18,Non-Binary,WY,48838,411.0,4.0,603.16,1,2,2,122,At Risk,307,1
53,17,277,3341.87,11.366904761904761,547,1.8605442176870748,2024-04-06,2025-04-05,633,269,364,0.8076923076923077,0.05782312925170068,65,Non-Binary,WY,86565,287.0,17.0,3341.87,1,4,4,144,At Risk,269,1
54,3,71,452.16,6.110270270270271,93,1.2567567567567568,2025-08-04,2025-12-30,148,0,148,0.5,0.04054054054054054,39,Male,NH,103172,40.0,3.0,452.16,3,1,1,311,Need Attention,0,0
55,14,252,3263.91,12.270338345864662,436,1.6390977443609023,2024-09-04,2025-09-02,482,119,363,0.7327823691460055,0.05263157894736842,20,Male,LA,49038,129.0,14.0,3263.91,2,4,4,244,At Risk,119,1
56,14,292,2094.31,6.8441503267973856,625,2.042483660130719,2024-03-27,2025-03-26,643,279,364,0.8406593406593407,0.0457516339869281,46,Female,NE,53801,294.0,14.0,2094.31,1,4,4,144,At Risk,279,1
57,6,176,321.2,1.7648351648351648,238,1.3076923076923077,2024-08-08,2025-08-05,509,147,362,0.5027624309392266,0.03296703296703297,22,Female,UT,56790,259.0,6.0,321.2,1,2,1,121,Others,147,1
58,9,166,1070.65,6.118,233,1.3314285714285714,2025-03-29,2025-12-30,276,0,276,0.6340579710144928,0.05142857142857143,29,Female,VA,55440,28.0,9.0,1070.65,3,3,2,332,Loyal Customers,0,0
59,7,173,321.82,1.7878888888888889,292,1.6222222222222222,2025-04-19,2025-12-30,255,0,255,0.7058823529411765,0.03888888888888889,65,Female,WY,74261,45.0,7.0,321.82,3,2,1,321,Need Attention,0,0
60,11,200,1692.58,8.021706161137441,274,1.2985781990521328,2024-12-23,2025-12-22,372,8,364,0.5796703296703297,0.052132701421800945,40,Female,OH,86451,54.0,11.0,1692.58,3,3,3,333,Champions,8,0
61,1,93,285.18,3.0338297872340427,129,1.372340425531915,2025-06-11,2025-12-28,202,2,200,0.47,0.010638297872340425,22,Female,TN,56134,28.0,1.0,285.18,3,1,1,311,Need Attention,2,0
62,4,55,493.92999999999995,8.371694915254237,114,1.9322033898305084,2025-10-21,2025-12-30,70,0,70,0.8428571428571429,0.06779661016949153,49,Male,VT,82369,5.0,4.0,493.92999999999995,4,2,1,421,Need Attention,0,0
63,10,223,3603.84,15.467124463519314,330,1.4163090128755365,2024-11-23,2025-11-18,402,42,360,0.6472222222222223,0.04291845493562232,62,Non-Binary,NM,77963,42.0,10.0,3603.84,3,3,4,334,Champions,42,0
64,0,7,0.0,0.0,7,1.0,2025-11-08,2025-12-30,52,0,52,0.1346153846153846,0.0,29,Female,FL,65413,,,,,,,,,0,1
65,2,30,1225.96,38.31125,47,1.46875,2025-11-07,2025-12-30,53,0,53,0.6037735849056604,0.0625,50,Male,ID,106995,48.0,2.0,1225.96,3,1,3,313,Others,0,0
66,20,264,4710.99,16.58799295774648,543,1.9119718309859155,2024-09-25,2025-09-24,461,97,364,0.7802197802197802,0.07042253521126761,20,Male,LA,30718,104.0,20.0,4710.99,2,4,4,244,At Risk,97,1
67,5,201,698.71,3.3917961165048545,318,1.5436893203883495,2025-02-21,2025-12-30,312,0,312,0.6602564102564102,0.024271844660194174,57,Male,IL,71203,3.0,5.0,698.71,4,2,2,422,Loyal Customers,0,0
68,3,83,921.01,10.709418604651162,136,1.5813953488372092,2025-08-27,2025-12-29,125,1,124,0.6935483870967742,0.03488372093023256,51,Non-Binary,AR,78613,20.0,3.0,921.01,4,1,2,412,New Customers,1,0
69,4,87,1512.23,16.61791208791209,163,1.7912087912087913,2025-09-09,2025-12-30,112,0,112,0.8125,0.04395604395604396,24,Male,OR,67355,10.0,4.0,1512.23,4,2,3,423,Loyal Customers,0,0
70,12,299,1720.2,5.531189710610932,665,2.1382636655948555,2024-03-17,2025-03-15,653,290,363,0.8567493112947658,0.03858520900321544,46,Male,WA,62606,290.0,12.0,1720.2,1,4,3,143,At Risk,290,1
71,8,199,1027.92,4.965797101449276,293,1.4154589371980677,2024-10-04,2025-10-03,452,88,364,0.5686813186813187,0.03864734299516908,53,Non-Binary,ND,84776,142.0,8.0,1027.92,2,3,2,232,At Risk,88,0
72,2,32,935.6,27.51764705882353,66,1.9411764705882353,2025-11-20,2025-12-30,40,0,40,0.85,0.058823529411764705,52,Female,AR,65348,5.0,2.0,935.6,4,1,2,412,New Customers,0,0
73,0,70,0.0,0.0,77,1.1,2024-04-09,2025-03-17,630,288,342,0.2046783625730994,0.0,41,Male,WA,73207,,,,,,,,,288,1
74,1,26,123.12,4.5600000000000005,41,1.5185185185185186,2025-11-27,2025-12-30,33,0,33,0.8181818181818182,0.037037037037037035,30,Non-Binary,MD,81065,1.0,1.0,123.12,4,1,1,411,New Customers,0,0
75,14,273,3238.64,11.284459930313588,520,1.8118466898954704,2024-08-05,2025-08-04,512,148,364,0.7884615384615384,0.04878048780487805,52,Female,AR,95582,161.0,14.0,3238.64,2,4,4,244,At Risk,148,1
76,8,203,1421.4499999999998,6.736729857819904,330,1.5639810426540284,2025-02-01,2025-12-30,332,0,332,0.6355421686746988,0.037914691943127965,36,Male,AR,68315,10.0,8.0,1421.4499999999998,4,3,3,433,Champions,0,0
77,3,62,234.45,3.606923076923077,100,1.5384615384615385,2025-09-05,2025-12-30,116,0,116,0.5603448275862069,0.046153846153846156,29,Non-Binary,OR,70380,40.0,3.0,234.45,3,1,1,311,Need Attention,0,0
78,3,107,1322.1200000000001,12.019272727272728,128,1.1636363636363636,2025-01-19,2025-12-30,345,0,345,0.3188405797101449,0.02727272727272727,69,Non-Binary,NJ,82632,231.0,3.0,1322.1200000000001,2,1,3,213,Others,0,0
79,2,90,225.82999999999998,2.4546739130434783,121,1.315217391304348,2025-05-22,2025-12-29,222,1,221,0.416289592760181,0.021739130434782608,64,Male,NY,98853,79.0,2.0,225.82999999999998,3,1,1,311,Need Attention,1,0
80,2,84,81.28,0.9451162790697675,109,1.2674418604651163,2025-05-02,2025-12-30,242,0,242,0.35537190082644626,0.023255813953488372,40,Male,PW,102148,45.0,2.0,81.28,3,1,1,311,Need Attention,0,0
81,6,148,708.16,4.598441558441558,190,1.2337662337662338,2024-02-09,2025-02-07,690,326,364,0.4230769230769231,0.03896103896103896,62,Non-Binary,PR,85867,367.0,6.0,708.16,1,2,2,122,At Risk,326,1
82,1,38,68.21,1.7489743589743587,54,1.3846153846153846,2025-10-21,2025-12-30,70,0,70,0.5571428571428572,0.02564102564102564,64,Male,NC,107129,8.0,1.0,68.21,4,1,1,411,New Customers,0,0
83,8,194,2132.54,10.557128712871286,279,1.381188118811881,2024-03-15,2025-03-13,655,292,363,0.5564738292011019,0.039603960396039604,61,Female,GA,81333,314.0,8.0,2132.54,1,3,4,134,At Risk,292,1
84,0,38,0.0,0.0,49,1.2894736842105263,2025-10-15,2025-12-30,76,0,76,0.5,0.0,57,Female,AR,79403,,,,,,,,,0,1
85,4,189,815.15,4.223575129533678,268,1.38860103626943,2025-01-28,2025-12-30,336,0,336,0.5744047619047619,0.02072538860103627,67,Male,NY,59775,60.0,4.0,815.15,3,2,2,322,Loyal Customers,0,0
86,8,266,2398.45,8.75346715328467,532,1.9416058394160585,2024-12-09,2025-12-07,386,23,363,0.7548209366391184,0.029197080291970802,69,Male,CO,85685,100.0,8.0,2398.45,2,3,4,234,At Risk,23,0
87,10,184,2889.69,14.895309278350515,405,2.0876288659793816,2025-05-26,2025-12-29,218,1,217,0.8940092165898618,0.05154639175257732,24,Male,PR,51223,40.0,10.0,2889.69,3,3,4,334,Champions,1,0
88,3,145,1325.83,8.95831081081081,182,1.2297297297297298,2024-07-02,2025-06-26,546,187,359,0.41225626740947074,0.02027027027027027,56,Non-Binary,HI,74798,251.0,3.0,1325.83,1,1,3,113,Others,187,1
89,0,13,0.0,0.0,32,2.4615384615384617,2025-12-15,2025-12-30,15,0,15,0.8666666666666667,0.0,43,Male,CA,60634,,,,,,,,,0,1
90,2,35,819.6700000000001,22.153243243243246,51,1.3783783783783783,2025-10-18,2025-12-30,73,0,73,0.5068493150684932,0.05405405405405406,67,Female,PA,55363,22.0,2.0,819.6700000000001,4,1,2,412,New Customers,0,0
91,5,233,991.8,4.167226890756302,370,1.5546218487394958,2024-02-28,2025-02-23,671,310,361,0.6592797783933518,0.02100840336134454,37,Male,CA,87567,314.0,5.0,991.8,1,2,2,122,At Risk,310,1
92,8,183,3164.7299999999996,16.569267015706803,266,1.3926701570680629,2024-12-15,2025-12-13,380,17,363,0.5261707988980716,0.041884816753926704,66,Male,TX,94562,62.0,8.0,3164.7299999999996,3,3,4,334,Champions,17,0
93,6,173,2663.19,14.878156424581006,236,1.318435754189944,2024-04-29,2025-04-24,610,250,360,0.49722222222222223,0.0335195530726257,23,Female,VI,33048,259.0,6.0,2663.19,1,2,4,124,At Risk,250,1
94,6,202,697.48,3.353269230769231,302,1.4519230769230769,2024-08-01,2025-07-31,516,152,364,0.5714285714285714,0.028846153846153848,28,Male,IA,72986,157.0,6.0,697.48,2,2,2,222,At Risk,152,1
95,2,37,162.5,4.166666666666667,76,1.9487179487179487,2025-11-09,2025-12-30,51,0,51,0.7647058823529411,0.05128205128205128,52,Non-Binary,MO,68921,11.0,2.0,162.5,4,1,1,411,New Customers,0,0
96,9,241,744.7,2.9788,426,1.704,2024-08-22,2025-08-20,495,132,363,0.6887052341597796,0.036,66,Female,DE,86258,192.0,9.0,744.7,2,3,2,232,At Risk,132,1
97,17,283,3176.16,10.5872,671,2.236666666666667,2024-05-23,2025-05-21,586,223,363,0.8264462809917356,0.056666666666666664,48,Non-Binary,FM,95551,228.0,17.0,3176.16,2,4,4,244,At Risk,223,1
98,9,233,1049.52,4.3368595041322315,384,1.5867768595041323,2024-01-14,2025-01-11,716,353,363,0.6666666666666666,0.0371900826446281,27,Female,OK,52974,382.0,9.0,1049.52,1,3,2,132,At Risk,353,1
99,9,214,1082.75,4.855381165919282,386,1.7309417040358743,2025-02-12,2025-12-29,321,1,320,0.696875,0.04035874439461883,45,Female,IA,57691,1.0,9.0,1082.75,4,3,2,432,Loyal Customers,1,0
100,6,59,618.86,9.520923076923077,131,2.0153846153846153,2025-10-10,2025-12-30,81,0,81,0.8024691358024691,0.09230769230769231,67,Male,OR,76132,1.0,6.0,618.86,4,2,2,422,Loyal Customers,0,0
101,6,163,1103.62,6.530295857988165,207,1.2248520710059172,2024-02-11,2025-02-07,688,326,362,0.46685082872928174,0.03550295857988166,53,Male,PA,47809,345.0,6.0,1103.62,1,2,2,122,At Risk,326,1
102,4,76,163.11,2.038875,102,1.275,2025-07-12,2025-12-29,171,1,170,0.47058823529411764,0.05,52,Male,AZ,81437,68.0,4.0,163.11,3,2,1,321,Need Attention,1,0
103,11,244,1963.58,7.700313725490195,481,1.8862745098039215,2025-01-25,2025-12-29,339,1,338,0.7544378698224852,0.043137254901960784,35,Male,RI,92770,10.0,11.0,1963.58,4,3,3,433,Champions,1,0
104,5,145,704.02,4.693466666666667,210,1.4,2025-03-27,2025-12-30,278,0,278,0.539568345323741,0.03333333333333333,27,Female,CO,37545,37.0,5.0,704.02,3,2,2,322,Loyal Customers,0,0
105,20,293,4346.05,13.885143769968051,663,2.1182108626198084,2024-08-30,2025-08-29,487,123,364,0.8598901098901099,0.06389776357827476,62,Female,MT,76353,173.0,20.0,4346.05,2,4,4,244,At Risk,123,1
106,13,245,1089.77,4.22391472868217,449,1.7403100775193798,2024-03-06,2025-03-02,664,303,361,0.7146814404432132,0.050387596899224806,35,Non-Binary,TN,49952,351.0,13.0,1089.77,1,4,2,142,At Risk,303,1
107,12,211,1175.3,5.270403587443946,343,1.5381165919282511,2024-06-26,2025-06-25,552,188,364,0.6126373626373627,0.053811659192825115,28,Female,OR,38302,193.0,12.0,1175.3,2,4,2,242,At Risk,188,1
108,3,31,374.32,11.009411764705883,62,1.8235294117647058,2025-11-20,2025-12-29,40,1,39,0.8717948717948718,0.08823529411764706,30,Male,OK,85308,14.0,3.0,374.32,4,1,1,411,New Customers,1,0
109,1,58,36.57,0.6198305084745763,81,1.3728813559322033,2025-09-04,2025-12-29,117,1,116,0.5086206896551724,0.01694915254237288,58,Non-Binary,NC,55083,62.0,1.0,36.57,3,1,1,311,Need Attention,1,0
110,2,118,201.12,1.676,155,1.2916666666666667,2025-06-02,2025-12-30,211,0,211,0.5687203791469194,0.016666666666666666,45,Male,MD,63509,133.0,2.0,201.12,2,1,1,211,Need Attention,0,0
111,0,6,0.0,0.0,7,1.1666666666666667,2025-12-13,2025-12-24,17,6,11,0.5454545454545454,0.0,48,Non-Binary,KS,78793,,,,,,,,,6,1
112,16,120,1390.1,10.221323529411764,303,2.2279411764705883,2025-07-19,2025-12-30,164,0,164,0.8292682926829268,0.11764705882352941,54,Female,IL,79899,15.0,16.0,1390.1,4,4,3,443,Champions,0,0
113,4,107,545.4300000000001,4.913783783783784,128,1.1531531531531531,2025-04-04,2025-12-28,270,2,268,0.4141791044776119,0.036036036036036036,36,Female,TN,63304,155.0,4.0,545.4300000000001,2,2,2,222,At Risk,2,0
114,10,265,2104.79,7.653781818181818,502,1.8254545454545454,2024-01-03,2024-12-30,727,365,362,0.7596685082872928,0.03636363636363636,68,Male,VT,60013,382.0,10.0,2104.79,1,3,4,134,At Risk,365,1
115,0,9,0.0,0.0,24,2.6666666666666665,2025-12-18,2025-12-30,12,0,12,0.75,0.0,21,Female,MD,71174,,,,,,,,,0,1
116,12,221,3306.1099999999997,14.18931330472103,401,1.7210300429184548,2024-12-14,2025-12-12,381,18,363,0.6418732782369146,0.05150214592274678,48,Non-Binary,IA,57130,42.0,12.0,3306.1099999999997,3,4,4,344,Champions,18,0
117,14,203,2460.8,11.340092165898618,322,1.4838709677419355,2024-06-03,2025-06-02,575,211,364,0.5961538461538461,0.06451612903225806,51,Female,KS,94631,252.0,14.0,2460.8,1,4,4,144,At Risk,211,1
118,14,241,2133.41,8.366313725490196,445,1.7450980392156863,2024-09-25,2025-09-23,461,98,363,0.7024793388429752,0.054901960784313725,18,Female,MO,57626,146.0,14.0,2133.41,2,4,4,244,At Risk,98,1
119,6,234,958.4,3.993333333333333,368,1.5333333333333334,2024-08-24,2025-08-23,493,129,364,0.6593406593406593,0.025,22,Non-Binary,DC,52551,129.0,6.0,958.4,2,2,2,222,At Risk,129,1
120,4,119,436.76,3.5508943089430893,143,1.1626016260162602,2024-07-28,2025-07-25,520,158,362,0.3397790055248619,0.032520325203252036,54,Male,TN,115088,178.0,4.0,436.76,2,2,1,221,Need Attention,158,1
121,2,80,1107.23,13.502804878048781,124,1.5121951219512195,2025-08-05,2025-12-29,147,1,146,0.5616438356164384,0.024390243902439025,28,Female,SD,57495,39.0,2.0,1107.23,3,1,2,312,Need Attention,1,0
122,14,222,3742.49,15.85800847457627,353,1.4957627118644068,2024-11-02,2025-11-01,423,59,364,0.6483516483516484,0.059322033898305086,51,Female,ME,70365,61.0,14.0,3742.49,3,4,4,344,Champions,59,0
123,8,275,461.53,1.6308480565371024,542,1.9151943462897527,2024-12-01,2025-11-29,394,31,363,0.7796143250688705,0.028268551236749116,44,Male,NH,75767,70.0,8.0,461.53,3,3,1,331,Others,31,0
124,16,228,2991.7799999999997,12.26139344262295,378,1.5491803278688525,2024-06-16,2025-06-14,562,199,363,0.6721763085399449,0.06557377049180328,50,Non-Binary,MD,68193,199.0,16.0,2991.7799999999997,2,4,4,244,At Risk,199,1
125,0,99,0.0,0.0,140,1.4141414141414141,2025-06-26,2025-12-30,187,0,187,0.5294117647058824,0.0,59,Male,WV,53949,,,,,,,,,0,1
126,2,122,239.47,1.9312096774193548,230,1.8548387096774193,2025-07-01,2025-12-30,182,0,182,0.6813186813186813,0.016129032258064516,23,Male,CA,60666,103.0,2.0,239.47,2,1,1,211,Need Attention,0,0
127,6,150,551.35,3.534294871794872,224,1.435897435897436,2025-03-30,2025-12-30,275,0,275,0.5672727272727273,0.038461538461538464,30,Non-Binary,AL,70633,26.0,6.0,551.35,3,2,2,322,Loyal Customers,0,0
128,9,263,1071.94,3.9409558823529416,511,1.8786764705882353,2024-04-21,2025-04-18,618,256,362,0.7513812154696132,0.03308823529411765,40,Non-Binary,NH,49426,304.0,9.0,1071.94,1,3,2,132,At Risk,256,1
